Student Name,Student ID,Major,Most Consistent Payment Day
Michelle Jones,SID1146,Art,26
Joseph Kelly,SID1147,Economics,17
Thomas Williams,SID1148,Medicine,21
Anthony Melendez,SID1149,Economics,19
Anna Gomez,SID1150,Biology,6
Brandon Cherry MD,SID1151,History,21
Joel Lee,SID1152,Engineering,9
Amy Mckay,SID1153,Computer Science,16
Mr. David Brown,SID1154,Art,10
Theresa Henderson,SID1155,Biology,24
Amanda Flores,SID1156,Biology,26
Jason Hudson,SID1157,Philosophy,3
Andrew Hayden,SID1158,Physics,11
Terrence Hernandez,SID1159,Medicine,4
Nicholas Ruiz,SID1160,Computer Science,23
Dustin Tucker,SID1161,Mathematics,23
Richard Chavez,SID1162,History,5
Joanna Andrews,SID1163,Philosophy,3
Rebecca Fox,SID1164,Medicine,21
Mark Greene,SID1165,Economics,8
Bethany Cooper,SID1166,History,9
Angela Howell,SID1167,Engineering,26
Catherine Martin,SID1168,Physics,14
Priscilla Hoffman,SID1169,Medicine,4
Jacob Gomez,SID1170,Philosophy,21
Brenda Washington,SID1171,Medicine,27
Robert Graham,SID1172,Psychology,20
Frank Mason,SID1173,Computer Science,1
Anthony Vasquez,SID1174,Engineering,10
Leslie Edwards,SID1175,Art,15
Raymond Perez,SID1176,Biology,4
Christopher Williams,SID1177,Mathematics,20
Jared Gonzalez,SID1178,Mathematics,24
Dalton Estrada,SID1179,Mathematics,9
Todd Parrish,SID1180,Medicine,20
Robert Mcdonald MD,SID1181,Psychology,5
Luis Taylor,SID1182,Philosophy,27
Tony Bryant,SID1183,History,23
Michael Wallace,SID1184,Physics,26
Sherry Carpenter,SID1185,Psychology,4
Jacob Willis,SID1186,Philosophy,8
Zachary Morris,SID1187,Computer Science,25
Susan Roberts,SID1188,Literature,9
Bradley Cortez,SID1189,Philosophy,1
Kayla Perkins,SID1190,Mathematics,15
Jennifer Williams,SID1191,Computer Science,26
Christine Johnson,SID1192,Art,12
James Brown,SID1193,Mathematics,15
Ian Mcdonald,SID1194,Philosophy,12
Amy Drake,SID1195,Engineering,7
Peter Guerrero,SID1196,Biology,22
Rodney Young,SID1197,Engineering,23
Robin Fox,SID1198,Physics,23
Christine Rodriguez,SID1199,Art,27
Blake Grant,SID1200,Mathematics,16
Thomas Klein,SID1201,Medicine,18
Sonya Morrow,SID1202,Medicine,16
Sean Mills,SID1203,Engineering,28
Deanna Thompson,SID1204,Computer Science,18
Patrick Singleton,SID1205,Physics,27
Kevin Ray MD,SID1206,Physics,17
Jerome Martinez,SID1207,Engineering,21
James Robinson,SID1208,Philosophy,17
Jennifer Waters,SID1209,Computer Science,9
Diane Sims,SID1210,Medicine,4
Tony Mccoy,SID1211,Medicine,9
Anna Cook,SID1212,Physics,15
Christopher Wallace,SID1213,Physics,20
Nathan Johns,SID1214,Philosophy,25
Shelly Davidson,SID1215,Literature,6
Donald James,SID1216,Biology,17
Christopher Zavala,SID1217,Economics,14
Kimberly Martinez,SID1218,Computer Science,18
Ian Davis,SID1219,Computer Science,12
Tony Braun,SID1220,Medicine,21
Andrew Cobb,SID1221,Economics,16
Edward Dalton,SID1222,Medicine,22
Victoria Perez,SID1223,Philosophy,6
Lori Oliver,SID1224,History,10
Cindy Scott,SID1225,Economics,17
Meghan Horn,SID1226,Mathematics,12
Courtney Wells,SID1227,Physics,23
Curtis Roman,SID1228,Computer Science,20
Deborah Rich,SID1229,Biology,10
Alison Forbes,SID1230,Physics,11
Taylor Harding,SID1231,Literature,16
Colleen Rogers,SID1232,Philosophy,2
Rodney Collins,SID1233,Economics,2
Tamara Hamilton,SID1234,Engineering,8
Christopher Thomas,SID1235,Literature,6
Bradley Gutierrez,SID1236,Physics,15
Valerie Morales DVM,SID1237,Engineering,16
Felicia Sanchez,SID1238,Medicine,3
Nathan Harvey,SID1239,Literature,17
Katie Zuniga,SID1240,Medicine,24
Sandy Mitchell,SID1241,Philosophy,19
Laura Parker,SID1242,Medicine,28
Pamela Watts,SID1243,Physics,21
Henry Gonzalez,SID1244,Biology,28
William Jones,SID1245,Philosophy,18
Mark Holmes,SID1246,Medicine,5
Roy Miller,SID1247,Psychology,24
Kendra Johnson,SID1248,Psychology,11
Christy Williams,SID1249,Philosophy,23
Samuel Nelson,SID1250,Literature,20
Brett Hernandez,SID1251,Literature,15
Julie Walker,SID1252,Literature,5
Tasha Kidd,SID1253,Philosophy,20
Robert Morales,SID1254,Literature,28
Sergio Cobb,SID1255,Physics,6
Bobby Lee,SID1256,Computer Science,4
Aaron Gregory,SID1257,Engineering,12
Shane Brown,SID1258,Economics,15
Sarah Clark,SID1259,Computer Science,16
Lisa Garcia,SID1260,Physics,9
Kim Aguirre,SID1261,Biology,26
Eric Cisneros,SID1262,Economics,27
Kristine Mercado,SID1263,Biology,23
Christopher Wright,SID1264,Biology,13
Jacqueline Edwards,SID1265,Literature,15
Brandy Henry,SID1266,Literature,22
Whitney Harris,SID1267,Philosophy,28
Evan Miller,SID1268,Medicine,11
Christopher James,SID1269,Engineering,8
Victoria Steele,SID1270,Physics,21
Kevin Harris,SID1271,History,26
Carla Salinas,SID1272,Engineering,7
Matthew Martin,SID1273,Biology,25
Tyler Brown,SID1274,Art,13
Danny Shields,SID1275,Literature,13
Erin Perez,SID1276,Art,12
Teresa Williams,SID1277,Engineering,1
Paul Esparza,SID1278,Literature,6
Danielle Rodriguez,SID1279,Art,2
Steven Smith,SID1280,Economics,16
Mrs. Cathy Medina,SID1281,History,7
Brooke Watson,SID1282,History,19
Angela Pearson,SID1283,Economics,10
Gary Tapia,SID1284,Philosophy,10
Stephanie Foster,SID1285,History,26
Christopher Calderon,SID1286,Engineering,14
Daniel Rich,SID1287,Economics,16
Jeremy Robinson,SID1288,Art,3
Jesus Miller,SID1289,Philosophy,23
Michael Johnson,SID1290,Economics,2
Scott Obrien,SID1291,Physics,26
Stephanie Cochran,SID1292,Psychology,11
Nathaniel Brown,SID1293,Computer Science,3
Kyle Armstrong,SID1294,Philosophy,23
Brooke Ward DDS,SID1295,Economics,27
Richard Molina,SID1296,Economics,21
Anthony Clark,SID1297,Literature,6
Misty Villa,SID1298,Economics,18
Isaiah Lopez,SID1299,Philosophy,20
Mark Robinson,SID1300,Engineering,15
Angel Hudson,SID1301,Mathematics,1
Katrina Bridges,SID1302,Engineering,25
Katie Mcdonald,SID1303,History,23
Alexis Horton,SID1304,Philosophy,21
Andrew Jordan,SID1305,Computer Science,22
Tyler Cunningham,SID1306,Engineering,9
Jack Turner,SID1307,Computer Science,17
Joseph Osborne,SID1308,Economics,8
Wesley Acosta,SID1309,Philosophy,1
Alice Martin,SID1310,Economics,28
Jasmin Serrano,SID1311,Physics,17
Cynthia Walker,SID1312,Engineering,6
Luke Bryant,SID1313,Medicine,2
Tracy King,SID1314,Psychology,3
Theresa Green,SID1315,Economics,14
Jacob Bridges,SID1316,Psychology,7
Megan Morris,SID1317,Computer Science,10
Joseph Douglas,SID1318,Biology,12
Richard Fernandez,SID1319,Physics,24
Vanessa Mathis,SID1320,History,7
Amber Colon,SID1321,Philosophy,17
Jay Johnson,SID1322,Economics,5
Joseph Randall,SID1323,Mathematics,23
Debra Bennett,SID1324,Biology,7
Derrick Evans,SID1325,Computer Science,15
Sarah Johnson,SID1326,Economics,11
Christopher Glover,SID1327,History,14
Christopher Lopez,SID1328,Economics,22
Madison Anderson,SID1329,Economics,22
Jordan Dawson,SID1330,Psychology,21
Stephanie Chan,SID1331,Computer Science,10
Stephen Cobb,SID1332,Physics,21
Gregory Schmitt,SID1333,Philosophy,4
Sarah Anthony,SID1334,Biology,13
Shelly Obrien,SID1335,Physics,9
Paige Sanchez,SID1336,Physics,4
Aaron White,SID1337,Literature,10
Anne Odonnell,SID1338,Mathematics,18
Regina Davis,SID1339,Economics,27
Adam Patterson,SID1340,History,14
Anna Mercado,SID1341,Computer Science,22
Kelsey Dominguez,SID1342,Engineering,7
Thomas Roberts,SID1343,Psychology,16
Samantha Davis,SID1344,Engineering,7
Steven Cole,SID1345,Literature,14
Anthony Nixon,SID1346,Literature,18
Shawn Brown,SID1347,Medicine,25
Christopher Jensen,SID1348,Mathematics,28
Aaron Russo,SID1349,Mathematics,22
Paul Beck,SID1350,Psychology,27
Erica Chase,SID1351,Engineering,13
Tonya Cuevas,SID1352,Literature,9
Michael Anderson,SID1353,Philosophy,26
Paige Reyes,SID1354,Literature,5
John Cooper,SID1355,Philosophy,17
Elizabeth Key,SID1356,Engineering,28
Melissa Mitchell,SID1357,History,8
Daniel Stewart,SID1358,History,10
Amanda Kaufman,SID1359,Medicine,22
Richard Bird,SID1360,Art,15
Rebecca Saunders,SID1361,Physics,15
Matthew Middleton,SID1362,Mathematics,1
Yolanda Austin,SID1363,Literature,1
Kristin Livingston,SID1364,Art,26
Timothy Boyd,SID1365,Philosophy,6
Brian Johnson,SID1366,Literature,18
Christopher Owens,SID1367,Physics,13
Justin Washington,SID1368,Mathematics,10
Eric Bryant,SID1369,Art,1
Savannah Chapman,SID1370,Literature,13
Neil Valentine,SID1371,Medicine,17
Elizabeth Bridges,SID1372,Mathematics,18
Shannon Cochran,SID1373,Economics,22
Michael Miller,SID1374,Literature,17
Anthony Clark,SID1375,Philosophy,10
Erica Johnson,SID1376,Physics,4
Laura Jackson,SID1377,Mathematics,15
Gwendolyn Hernandez,SID1378,Mathematics,7
Andrea Garcia,SID1379,Art,21
Jane Summers,SID1380,Medicine,11
Henry Davis,SID1381,Art,14
Dana Rivera,SID1382,Engineering,5
Christopher Gonzalez,SID1383,Literature,11
Jorge Henderson,SID1384,Psychology,14
Edward Rodriguez,SID1385,Computer Science,21
Jay Tran,SID1386,Mathematics,3
Johnny Clark,SID1387,History,17
Joseph Bryant,SID1388,Literature,5
Sarah Choi,SID1389,Physics,25
Cody Bird,SID1390,Computer Science,27
Jacob Miller,SID1391,History,25
Vincent Norton,SID1392,Art,11
Danielle White,SID1393,Computer Science,23
James Reynolds,SID1394,Engineering,3
Andrew Henson,SID1395,Economics,6
Christopher Daugherty,SID1396,Mathematics,25
Ronnie Donovan,SID1397,Mathematics,13
Shannon Jones,SID1398,Art,12
Caroline Webb,SID1399,History,4
Amanda Valdez,SID1400,Economics,25
Eric Adams,SID1401,Mathematics,13
Paul Hill,SID1402,History,28
Darrell Stevens,SID1403,Physics,3
Stacie Tanner,SID1404,Psychology,24
William Hernandez,SID1405,History,13
Bethany Patel,SID1406,Art,11
Melinda Williams,SID1407,Psychology,4
James Miller,SID1408,Engineering,14
Timothy Collins,SID1409,Philosophy,9
Frederick Barnett,SID1410,Medicine,5
Connie Griffin,SID1411,Medicine,1
Justin Ellison,SID1412,Medicine,8
Heather Reed,SID1413,History,4
Patricia Ortega,SID1414,Art,12
Crystal Hanson,SID1415,Literature,24
Lance Peters,SID1416,Philosophy,7
Courtney Barrett,SID1417,Literature,13
Maria Williams,SID1418,Art,25
Laurie Hughes,SID1419,Physics,16
Dana Hernandez,SID1420,Literature,20
Jordan Lindsey,SID1421,Psychology,28
Michael Ramirez,SID1422,Physics,19
Peter Porter,SID1423,Physics,5
Brian Hall,SID1424,History,25
Tiffany Hart,SID1425,Psychology,1
Jared Graves,SID1426,Computer Science,6
Linda Romero,SID1427,Philosophy,16
Ryan Smith,SID1428,Psychology,7
Daisy Turner,SID1429,Literature,2
Lisa Walker,SID1430,Mathematics,28
Jenny Ruiz,SID1431,Engineering,6
Melissa Maxwell,SID1432,Economics,20
Brenda Bell,SID1433,Engineering,5
Leslie Roberts,SID1434,Philosophy,3
James Munoz,SID1435,Philosophy,13
Tom Hall,SID1436,History,15
Daniel Lucas,SID1437,Biology,11
Janet Johnson,SID1438,Mathematics,27
Michael Howell,SID1439,Literature,12
Jillian Bentley DDS,SID1440,Biology,20
Jill Arnold,SID1441,Literature,15
Cameron Ball,SID1442,Literature,20
Kristina Herman,SID1443,Engineering,9
Christina Melton,SID1444,Economics,2
Emily Hall,SID1445,Philosophy,15
Rebecca Andrews,SID1446,Art,23
Vincent Pitts,SID1447,Engineering,26
John Foster,SID1448,Mathematics,6
Mr. Bradley Nash,SID1449,Literature,1
Amanda Wall,SID1450,Psychology,21
Louis Wood,SID1451,Economics,13
Christina Williams,SID1452,Literature,15
Andrea Patel,SID1453,Psychology,1
Rebecca Mayer,SID1454,Biology,27
Timothy Allen,SID1455,Economics,12
Justin Hebert,SID1456,Medicine,6
Priscilla Davis,SID1457,Literature,7
Pamela Cortez,SID1458,Economics,1
Ashley Miller,SID1459,Engineering,11
Mark Adams,SID1460,Philosophy,24
Hayley Sandoval,SID1461,Art,14
Lauren May,SID1462,Economics,17
Ethan Kline,SID1463,Art,12
Eric Craig,SID1464,Medicine,22
Jean Mccarthy,SID1465,Economics,19
Wesley Gaines,SID1466,Physics,17
James Williams,SID1467,Biology,12
Donna Stark,SID1468,Physics,7
Anthony Brown,SID1469,History,26
Sarah Kim,SID1470,Medicine,19
Mrs. Sabrina Stafford,SID1471,Medicine,18
Jessica Fuentes,SID1472,Computer Science,23
John Owens,SID1473,Engineering,22
William Blackwell,SID1474,Computer Science,9
Patrick Mcdonald,SID1475,Medicine,18
Robert Thomas,SID1476,Medicine,11
Matthew Brown,SID1477,Physics,7
Roberta Fernandez,SID1478,Literature,28
Christopher Meyers,SID1479,History,13
Cody Marshall,SID1480,Philosophy,21
James Willis,SID1481,Physics,23
Taylor Myers,SID1482,Art,28
Amanda Bell,SID1483,Biology,13
Daniel Stone,SID1484,Physics,25
Michael Rojas,SID1485,Art,8
Michael Ingram,SID1486,Literature,18
Elizabeth Bryant,SID1487,Computer Science,7
Eric Smith,SID1488,Art,23
Kristen Bray,SID1489,Computer Science,7
James Garcia,SID1490,Psychology,11
Cole Chavez,SID1491,Philosophy,9
Tina Davis,SID1492,Medicine,13
David Thomas,SID1493,Mathematics,24
Ryan Walters,SID1494,Engineering,13
Briana Rowe,SID1495,Biology,12
Melanie Lowe,SID1496,Art,11
David Gomez,SID1497,Philosophy,17
Pamela Cunningham,SID1498,Philosophy,28
Shane Brown,SID1499,Mathematics,14
Bradley Rivas,SID1500,Art,28
Timothy Brown,SID1501,Computer Science,21
Mr. Nathan Washington Jr.,SID1502,Philosophy,26
Andrea Williams,SID1503,Engineering,3
Connor Abbott,SID1504,Literature,23
Mario Robertson,SID1505,Physics,14
Dr. Jacqueline Miller,SID1506,Medicine,9
Alison Howard,SID1507,Philosophy,6
Jacob Burton,SID1508,Engineering,20
Eric Huffman,SID1509,Literature,22
Blake Lee,SID1510,Biology,2
Julie Sanders,SID1511,Economics,15
Crystal Benson,SID1512,Mathematics,3
Christina Martinez,SID1513,Biology,24
Max Garrett,SID1514,Mathematics,26
Dylan Wilson,SID1515,Art,2
Dean Simon,SID1516,Mathematics,18
Austin Daniels,SID1517,Mathematics,23
Mrs. Nicole Wiley,SID1518,Psychology,24
Megan Conley,SID1519,Computer Science,20
George Blair,SID1520,Philosophy,16
Robert Smith,SID1521,Philosophy,22
Melissa Carr,SID1522,Biology,11
Kelly Porter,SID1523,Art,27
Elizabeth Velasquez,SID1524,Literature,16
Paul Cooper,SID1525,Medicine,24
Katrina Ellis,SID1526,Physics,22
William Mcbride,SID1527,Biology,14
William Harrison,SID1528,Economics,3
Robert Molina,SID1529,Psychology,21
Christopher Hernandez,SID1530,Art,14
James Dixon,SID1531,History,24
Patrick Leon,SID1532,Psychology,4
Erica Freeman,SID1533,History,7
Eric Knight,SID1534,Psychology,14
Alyssa Cox,SID1535,Mathematics,9
Elizabeth West,SID1536,Mathematics,14
Travis Garcia,SID1537,Computer Science,14
Benjamin Hood,SID1538,Art,4
Ann Turner,SID1539,Literature,15
Lance Thompson,SID1540,Computer Science,10
John Smith,SID1541,Psychology,14
Misty Luna,SID1542,Medicine,15
James Schmitt,SID1543,Computer Science,27
Wayne Gonzalez,SID1544,Psychology,5
Emily Jennings,SID1545,Literature,17
James Molina,SID1546,Engineering,4
Kathy Williams,SID1547,Biology,2
Michael Hernandez,SID1548,Economics,20
Joe Valdez,SID1549,Economics,12
Paul Reyes,SID1550,Physics,10
Benjamin Ramirez,SID1551,Literature,27
Veronica Rodriguez,SID1552,Medicine,5
Danielle Ward,SID1553,Philosophy,16
Michael Smith,SID1554,Biology,14
Jason Jackson,SID1555,Literature,14
Cynthia Ball,SID1556,Mathematics,12
Melissa Hudson,SID1557,Philosophy,10
Raymond Smith,SID1558,Literature,3
Michael Hart,SID1559,Computer Science,13
Brandi Robinson,SID1560,Computer Science,12
Nathan Roberts,SID1561,Psychology,7
William Johnston,SID1562,Medicine,7
Diamond Donovan,SID1563,Computer Science,20
Alexandria Neal,SID1564,Engineering,21
Martin Brown,SID1565,Computer Science,25
Zachary Travis,SID1566,Philosophy,26
Jack Brady,SID1567,Biology,24
Kayla Boyd,SID1568,Psychology,18
Anthony Castro,SID1569,Literature,28
Sheila Hogan,SID1570,Philosophy,1
Michelle Weaver,SID1571,Philosophy,20
Joe Burns,SID1572,Computer Science,27
Christine Chambers,SID1573,Engineering,21
David Roberts,SID1574,Psychology,16
Dennis Smith,SID1575,Mathematics,25
Teresa Chambers,SID1576,Psychology,16
Sarah Robinson,SID1577,Philosophy,20
Kimberly Spencer DDS,SID1578,Art,13
Kenneth Evans Jr.,SID1579,Economics,15
Sean Hampton,SID1580,Mathematics,17
Dawn Knight,SID1581,Computer Science,18
Joe Johnston,SID1582,Engineering,2
Robert Baldwin,SID1583,Biology,14
Ashley Reyes,SID1584,Medicine,22
William Simon,SID1585,Engineering,22
Lisa Walls,SID1586,History,20
Lisa Allen,SID1587,Computer Science,4
Leslie Wolf,SID1588,Art,28
William Alexander,SID1589,Literature,23
Tiffany Moran,SID1590,Art,27
Cathy Mclean,SID1591,Philosophy,27
Kimberly Coffey,SID1592,Mathematics,17
Jacqueline Hernandez,SID1593,Physics,22
Kathy Mann,SID1594,Literature,8
Robert Case,SID1595,History,15
Nancy Montoya,SID1596,Mathematics,13
Monica Hancock,SID1597,Mathematics,14
Mark Taylor,SID1598,History,12
Warren Combs,SID1599,Biology,8
Lynn Williams,SID1600,Computer Science,16
Brittany Steele,SID1601,Computer Science,8
Amy Le,SID1602,Psychology,8
Joel Kennedy,SID1603,Mathematics,12
Rebecca Schmidt DDS,SID1604,Literature,15
Sean Johnson,SID1605,Philosophy,17
Emily Kennedy,SID1606,Philosophy,2
Francisco Hamilton,SID1607,Mathematics,14
Scott Obrien,SID1608,Medicine,4
Laura Morgan,SID1609,Philosophy,20
Daniel Fry,SID1610,Physics,1
Meghan Duncan,SID1611,Engineering,6
Aaron Jones,SID1612,Philosophy,8
Stacey Sanders,SID1613,Economics,13
Mitchell Merritt,SID1614,Physics,16
Mark Webb,SID1615,Philosophy,25
Michael Pitts,SID1616,History,20
Vickie Brown,SID1617,Physics,21
Tara Rodriguez,SID1618,History,2
Jose Fischer,SID1619,Philosophy,16
Martha Douglas,SID1620,Engineering,21
Kevin Miles,SID1621,Psychology,25
Denise Bishop,SID1622,Medicine,28
Julie Reid,SID1623,Psychology,14
Dr. Kenneth Chapman,SID1624,Medicine,6
Sandra Meadows,SID1625,Mathematics,22
Michael Thompson,SID1626,Art,11
Tracy Brown,SID1627,Medicine,2
Michael Bowman,SID1628,Economics,28
John Chapman,SID1629,Physics,27
Nicole Diaz,SID1630,Art,27
Marissa Ali,SID1631,Economics,16
Kristen Warren,SID1632,Art,19
Brian Robertson,SID1633,Art,11
Bridget Garrett,SID1634,Philosophy,3
Francisco Harvey,SID1635,History,9
Lisa Prince,SID1636,Engineering,3
Jaime Davis,SID1637,Art,11
Steven Rodriguez,SID1638,History,9
Shane Jordan,SID1639,Computer Science,4
Herbert Munoz,SID1640,History,5
Jose Jordan,SID1641,Economics,4
Kim Rios,SID1642,Biology,11
Dr. Sherry Torres,SID1643,Computer Science,28
James Clark,SID1644,Philosophy,22
Ebony Fuller,SID1645,Psychology,15
Carla Martin,SID1646,Literature,26
Jonathan Thompson MD,SID1647,Biology,3
Leslie Clark,SID1648,Engineering,11
Ellen Freeman,SID1649,Economics,24
Earl Ritter,SID1650,Economics,9
Brian Warren,SID1651,Art,9
David Walsh,SID1652,History,11
Jesse Douglas,SID1653,Psychology,8
Bobby Thomas,SID1654,Physics,2
Lauren Harper,SID1655,Psychology,27
Andrea Clark,SID1656,Computer Science,22
Paul Ayers,SID1657,Engineering,7
Julia Jacobson,SID1658,Biology,4
Joseph Bailey,SID1659,Literature,25
Betty Gonzales,SID1660,Philosophy,9
John Doyle,SID1661,Art,12
Darrell Schmitt,SID1662,Psychology,17
Kimberly Smith,SID1663,Biology,11
David Smith,SID1664,Psychology,5
Jennifer Camacho,SID1665,History,7
Dennis Gilmore,SID1666,Psychology,7
Julie Parrish,SID1667,Biology,21
Jerome Martin,SID1668,Economics,18
Rachel Lewis,SID1669,Computer Science,18
Sherry Lynn,SID1670,Computer Science,26
Melissa Harris,SID1671,History,16
Thomas Fisher,SID1672,Computer Science,19
Henry Anderson,SID1673,Physics,8
Stacie Li,SID1674,Engineering,26
Stephen Smith,SID1675,Literature,11
Robert Hernandez,SID1676,Computer Science,14
Tina Lee,SID1677,Literature,5
Sylvia Shelton,SID1678,Psychology,16
James Adams,SID1679,Mathematics,13
Melissa Gutierrez,SID1680,Physics,27
Timothy Guerra,SID1681,Art,26
Mary Delacruz,SID1682,Physics,11
Kimberly Cline,SID1683,Art,10
Amber Ramirez,SID1684,Art,5
Paula King,SID1685,Philosophy,21
Jack Shepard,SID1686,Biology,7
Ryan Welch,SID1687,History,20
Heather Jimenez,SID1688,Physics,14
Michael Burton,SID1689,Medicine,16
Aaron Porter,SID1690,Literature,21
Todd Willis,SID1691,Philosophy,21
Mark Keith,SID1692,Computer Science,9
Lee Johnson,SID1693,Engineering,17
Alexander Lynch,SID1694,Physics,18
Richard Jones,SID1695,Economics,20
Ian Williams,SID1696,Philosophy,6
Lisa Cameron,SID1697,Economics,6
Stephanie Stokes,SID1698,Literature,6
